id,quality
15000,7.0
15001,7.0
15002,6.0
15003,6.0
15004,7.0
15005,6.0
15006,7.0
15007,6.0
15008,7.0
15009,6.0
15010,7.0
15011,6.0
15012,6.0
15013,6.0
15014,6.0
15015,7.0
15016,6.0
15017,6.0
15018,6.0
15019,6.0
15020,6.0
15021,6.0
15022,6.0
15023,7.0
15024,7.0
15025,6.0
15026,6.0
15027,6.0
15028,6.0
15029,6.0
15030,6.0
15031,6.0
15032,7.0
15033,7.0
15034,6.0
15035,6.0
15036,7.0
15037,6.0
15038,7.0
15039,6.0
15040,6.0
15041,7.0
15042,7.0
15043,7.0
15044,6.0
15045,6.0
15046,6.0
15047,6.0
15048,7.0
15049,7.0
15050,7.0
15051,6.0
15052,7.0
15053,7.0
15054,7.0
15055,6.0
15056,7.0
15057,6.0
15058,6.0
15059,7.0
15060,6.0
15061,6.0
15062,6.0
15063,7.0
15064,7.0
15065,6.0
15066,6.0
15067,6.0
15068,6.0
15069,7.0
15070,7.0
15071,7.0
15072,7.0
15073,6.0
15074,6.0
15075,6.0
15076,7.0
15077,7.0
15078,6.0
15079,6.0
15080,6.0
15081,6.0
15082,6.0
15083,6.0
15084,6.0
15085,7.0
15086,6.0
15087,6.0
15088,7.0
15089,6.0
15090,6.0
15091,6.0
15092,7.0
15093,6.0
15094,6.0
15095,6.0
15096,6.0
15097,7.0
15098,6.0
15099,6.0
15100,6.0
15101,6.0
15102,6.0
15103,7.0
15104,6.0
15105,6.0
15106,7.0
15107,7.0
15108,6.0
15109,6.0
15110,6.0
15111,6.0
15112,6.0
15113,6.0
15114,6.0
15115,7.0
15116,7.0
15117,6.0
15118,6.0
15119,6.0
15120,6.0
15121,6.0
15122,7.0
15123,7.0
15124,7.0
15125,6.0
15126,6.0
15127,7.0
15128,7.0
15129,6.0
15130,6.0
15131,6.0
15132,6.0
15133,7.0
15134,6.0
15135,6.0
15136,6.0
15137,7.0
15138,7.0
15139,6.0
15140,6.0
15141,6.0
15142,6.0
15143,7.0
15144,7.0
15145,6.0
15146,6.0
15147,6.0
15148,7.0
15149,6.0
15150,6.0
15151,6.0
15152,6.0
15153,6.0
15154,6.0
15155,6.0
15156,6.0
15157,7.0
15158,6.0
15159,6.0
15160,7.0
15161,7.0
15162,6.0
15163,7.0
15164,6.0
15165,6.0
15166,7.0
15167,6.0
15168,6.0
15169,6.0
15170,6.0
15171,6.0
15172,6.0
15173,6.0
15174,6.0
15175,6.0
15176,7.0
15177,6.0
15178,6.0
15179,7.0
15180,6.0
15181,6.0
15182,6.0
15183,6.0
15184,6.0
15185,6.0
15186,6.0
15187,7.0
15188,6.0
15189,6.0
15190,7.0
15191,7.0
15192,7.0
15193,6.0
15194,6.0
15195,6.0
15196,6.0
15197,7.0
15198,6.0
15199,6.0
15200,6.0
15201,6.0
15202,6.0
15203,7.0
15204,6.0
15205,7.0
15206,6.0
15207,6.0
15208,6.0
15209,7.0
15210,6.0
15211,7.0
15212,6.0
15213,6.0
15214,6.0
15215,6.0
15216,7.0
15217,6.0
15218,6.0
15219,6.0
15220,7.0
15221,7.0
