iter	MultiClass
0	1.654197626
1	1.558401304
2	1.479635543
3	1.416525649
4	1.363648201
5	1.320269639
6	1.282714396
7	1.251287785
8	1.22436813
9	1.199970897
10	1.179527129
11	1.16215166
12	1.147240133
13	1.133664276
14	1.122189697
15	1.111931992
16	1.102939583
17	1.095105006
18	1.087953849
19	1.082040536
20	1.076638009
21	1.071705844
22	1.067224489
23	1.063493486
24	1.060243198
25	1.057818005
26	1.055062047
27	1.053141817
28	1.05128766
29	1.04967512
30	1.048077589
31	1.04679662
32	1.045641831
33	1.044443755
34	1.043517731
35	1.042397509
36	1.041392354
37	1.040676117
38	1.040267355
39	1.039626845
40	1.03918969
41	1.038830661
42	1.038437051
43	1.038077225
44	1.037747894
45	1.037510309
46	1.036975842
47	1.036776503
48	1.03653806
49	1.036229811
50	1.036034603
51	1.035663489
52	1.035497862
53	1.035180962
54	1.035038231
55	1.034930333
56	1.034822022
57	1.034598967
58	1.034338919
59	1.034183311
60	1.033959978
61	1.033807196
62	1.033640299
63	1.03351051
64	1.033400747
65	1.033229037
66	1.032963359
67	1.032765118
68	1.032636987
69	1.032511955
70	1.032438336
71	1.032369182
72	1.032291895
73	1.03217112
74	1.032009985
75	1.031846616
76	1.031755999
77	1.031590611
78	1.0313811
79	1.031238262
80	1.031018353
81	1.030866365
82	1.030615527
83	1.030569012
84	1.030459314
85	1.030272647
86	1.030147117
87	1.030039679
88	1.029906088
89	1.029823434
90	1.029676879
91	1.029562096
92	1.029431378
93	1.029303875
94	1.029100725
95	1.028865006
96	1.028694317
97	1.028482595
98	1.028359892
99	1.028127968
100	1.028014369
101	1.027858029
102	1.027717336
103	1.027610827
104	1.027439083
105	1.027335642
106	1.027202343
107	1.02701401
108	1.026749531
109	1.026675133
110	1.026493495
111	1.026264665
112	1.026193895
113	1.026014696
114	1.025945826
115	1.025765608
116	1.025575219
117	1.025487592
118	1.025340994
119	1.025181093
120	1.025088307
121	1.024999182
122	1.024905739
123	1.024743765
124	1.024650636
125	1.024560403
126	1.024352126
127	1.024303317
128	1.024103278
129	1.023967195
130	1.023882999
131	1.023798478
132	1.02368326
133	1.023538634
134	1.023282271
135	1.023083568
136	1.022971723
137	1.022834866
138	1.022663206
139	1.022625601
140	1.022429467
141	1.022338823
142	1.022188927
143	1.022178565
144	1.021992213
145	1.021865853
146	1.021738363
147	1.021681781
148	1.021498519
149	1.021298578
150	1.021161277
151	1.021068197
152	1.020943577
153	1.020869146
154	1.020750271
155	1.020635282
156	1.020523059
157	1.020470323
158	1.020422545
159	1.020281136
160	1.020168356
161	1.019996233
162	1.019802169
163	1.019633193
164	1.019485344
165	1.019341047
166	1.019244444
167	1.019046411
168	1.018935772
169	1.018888983
170	1.018668703
171	1.01850464
172	1.01832816
173	1.018159786
174	1.018017608
175	1.017953863
176	1.017834542
177	1.017734042
178	1.017642711
179	1.01752112
180	1.017417876
181	1.017275532
182	1.017142567
183	1.017050512
184	1.016930668
185	1.016714198
186	1.016646349
187	1.016551693
188	1.01646894
189	1.016384446
190	1.016274276
191	1.016062028
192	1.016030131
193	1.015938916
194	1.015847305
195	1.015721001
196	1.015549357
197	1.015385114
198	1.015226171
199	1.015120812
200	1.01502432
201	1.014854568
202	1.014764014
203	1.014662748
204	1.01459154
