iter	Passed	Remaining
0	4	2978
1	9	2946
2	13	2928
3	18	2963
4	22	2858
5	26	2807
6	30	2770
7	33	2704
8	38	2722
9	42	2692
10	45	2666
11	49	2650
12	54	2655
13	58	2643
14	62	2649
15	66	2635
16	71	2649
17	74	2634
18	79	2632
19	83	2621
20	87	2619
21	91	2601
22	95	2609
23	99	2592
24	102	2578
25	106	2559
26	111	2577
27	115	2569
28	119	2564
29	123	2558
30	127	2550
31	131	2545
32	135	2539
33	139	2529
34	144	2536
35	148	2539
36	152	2533
37	156	2523
38	160	2519
39	165	2524
40	169	2522
41	173	2510
42	177	2509
43	181	2504
44	185	2494
45	188	2483
46	193	2489
47	197	2481
48	201	2478
49	205	2471
50	209	2467
51	213	2464
52	217	2457
53	221	2450
54	225	2440
55	229	2441
56	233	2436
57	237	2431
58	241	2422
59	245	2419
60	249	2417
61	254	2415
62	259	2421
63	264	2427
64	269	2427
65	273	2427
66	278	2427
67	282	2425
68	286	2420
69	291	2422
70	295	2417
71	299	2411
72	304	2411
73	308	2409
74	313	2408
75	317	2404
76	321	2399
77	325	2394
78	330	2392
79	333	2383
80	338	2379
81	341	2369
82	345	2366
83	349	2358
84	353	2354
85	357	2349
86	361	2343
87	365	2337
88	370	2340
89	374	2331
90	378	2326
91	381	2318
92	385	2315
93	389	2306
94	393	2302
95	396	2294
96	400	2289
97	405	2286
98	410	2286
99	413	2279
100	418	2277
101	422	2271
102	426	2268
103	429	2260
104	433	2253
105	437	2248
106	441	2243
107	444	2236
108	448	2230
109	452	2225
110	456	2218
111	460	2218
112	464	2213
113	469	2211
114	474	2210
115	477	2203
116	481	2197
117	485	2192
118	489	2186
119	492	2180
120	496	2173
121	500	2168
122	503	2162
123	508	2160
124	512	2155
125	515	2149
126	519	2143
127	523	2140
128	527	2135
129	531	2129
130	534	2123
131	538	2117
132	542	2111
133	545	2105
134	550	2103
135	554	2099
136	558	2096
137	562	2091
138	567	2090
139	571	2084
140	575	2080
141	579	2077
142	583	2072
143	586	2066
144	590	2059
145	594	2055
146	598	2052
147	602	2046
148	606	2042
149	610	2037
150	613	2031
151	617	2026
152	621	2023
153	625	2017
154	628	2012
155	632	2006
156	636	2001
157	639	1995
158	643	1990
159	647	1986
160	651	1982
161	655	1978
162	659	1974
163	663	1969
164	667	1965
165	670	1960
166	674	1955
167	678	1952
168	683	1949
169	686	1943
170	691	1942
171	696	1939
172	700	1934
173	704	1930
174	708	1926
175	711	1919
176	715	1915
177	719	1911
178	722	1904
179	726	1900
180	729	1895
181	733	1890
182	737	1884
183	740	1879
184	744	1875
185	748	1871
186	752	1867
187	756	1862
188	760	1858
189	765	1857
190	768	1851
191	772	1846
192	776	1842
193	780	1837
194	783	1833
195	787	1828
196	792	1825
197	795	1820
198	799	1816
199	803	1811
200	806	1806
201	810	1802
202	815	1799
203	819	1795
204	823	1790
205	827	1787
206	831	1783
207	834	1778
208	839	1774
209	843	1771
210	847	1767
211	851	1762
212	854	1758
213	859	1754
214	862	1749
215	866	1745
216	870	1740
217	874	1737
218	878	1732
219	881	1727
220	885	1723
221	889	1719
222	894	1717
223	898	1713
224	902	1708
225	905	1703
226	909	1698
227	913	1695
228	917	1690
229	921	1686
230	925	1682
231	928	1677
232	933	1674
233	937	1671
234	941	1667
235	946	1664
236	950	1660
237	955	1657
238	959	1653
239	964	1651
240	969	1648
241	973	1644
242	977	1640
243	981	1636
244	985	1633
245	991	1631
246	996	1629
247	1001	1626
248	1005	1623
249	1011	1621
250	1015	1618
251	1020	1615
252	1024	1612
253	1029	1608
254	1034	1606
255	1038	1602
256	1044	1600
257	1049	1598
258	1053	1594
259	1057	1590
260	1061	1586
261	1067	1584
262	1071	1580
263	1075	1576
264	1079	1571
265	1084	1569
266	1089	1566
267	1093	1563
268	1100	1562
269	1105	1559
270	1109	1555
271	1114	1552
272	1118	1548
273	1122	1543
274	1126	1540
275	1131	1536
276	1135	1532
277	1139	1529
278	1144	1526
279	1148	1522
280	1152	1517
281	1156	1513
282	1160	1509
283	1165	1506
284	1169	1502
285	1174	1498
286	1182	1499
287	1195	1506
288	1204	1508
289	1212	1509
290	1221	1511
291	1229	1512
292	1237	1511
293	1251	1519
294	1256	1516
295	1260	1512
296	1265	1508
297	1275	1510
298	1280	1507
299	1284	1503
300	1288	1498
301	1292	1493
302	1295	1488
303	1299	1482
304	1303	1478
305	1308	1474
306	1312	1471
307	1317	1466
308	1320	1461
309	1324	1457
310	1328	1452
311	1332	1447
312	1336	1443
313	1340	1438
314	1344	1434
315	1348	1430
316	1352	1425
317	1356	1420
318	1359	1415
319	1363	1410
320	1367	1405
321	1371	1401
322	1375	1396
323	1379	1392
324	1384	1388
325	1389	1384
326	1392	1380
327	1396	1375
328	1401	1371
329	1404	1366
330	1408	1361
331	1411	1356
332	1415	1351
333	1418	1346
334	1423	1342
335	1427	1338
336	1432	1334
337	1435	1329
338	1439	1325
339	1443	1320
340	1447	1316
341	1451	1311
342	1456	1307
343	1460	1302
344	1464	1298
345	1467	1293
346	1471	1289
347	1475	1284
348	1479	1279
349	1482	1274
