id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,8.3,0.48,0.16,2.1,0.073,3.0,11.0,0.9964,3.32,0.58,10.0,5.0
1,9.8,0.29,0.34,2.1,0.076,10.0,24.0,0.99572,3.3,0.54,11.4,6.0
2,6.8,0.68,0.13,1.8,0.066,15.0,35.0,0.99557,3.48,0.6,10.7,6.0
3,8.1,0.66,0.0,2.0,0.087,5.0,13.0,0.9986,3.35,0.87,9.6,5.0
4,6.6,0.39,0.41,2.3,0.076,11.0,20.0,0.99258,3.4,0.68,10.2,5.0
5,6.6,0.5,0.0,2.1,0.064,10.0,58.0,0.99472,3.45,0.61,9.2,5.0
6,7.3,0.53,0.28,2.3,0.095,14.0,31.0,0.99739,3.38,0.6,10.2,7.0
7,10.6,0.43,0.53,2.2,0.107,8.0,20.0,0.9961,3.31,0.62,9.5,5.0
8,9.3,0.48,0.24,2.4,0.08,24.0,58.0,0.9958,3.28,0.52,10.7,6.0
9,7.4,0.58,0.07,2.0,0.084,3.0,8.0,0.99538,3.2,0.56,9.5,5.0
10,9.1,0.43,0.24,2.4,0.086,6.0,31.0,0.99592,3.34,0.82,10.5,6.0
11,8.1,0.47,0.42,1.9,0.078,41.0,100.0,0.99708,3.22,0.56,9.5,5.0
12,6.8,0.62,0.13,2.3,0.071,23.0,66.0,0.99745,3.26,0.58,11.1,7.0
13,8.7,0.26,0.48,1.9,0.066,7.0,21.0,0.99704,3.24,0.53,11.4,6.0
14,6.8,0.46,0.1,2.0,0.038,7.0,18.0,0.99552,3.41,0.48,12.9,6.0
15,7.7,0.34,0.22,2.2,0.073,26.0,46.0,0.99616,3.49,0.56,11.9,6.0
16,6.6,0.63,0.11,1.7,0.079,7.0,18.0,0.9976,3.44,0.55,11.4,4.0
17,7.9,0.58,0.07,1.9,0.09,9.0,18.0,0.99736,3.38,0.54,9.5,5.0
18,10.3,0.5,0.49,2.5,0.064,19.0,35.0,0.9978,3.18,1.61,9.9,5.0
19,10.0,0.7,0.1,2.0,0.075,5.0,31.0,0.9976,3.37,0.54,10.5,5.0
20,6.3,0.74,0.0,5.3,0.079,7.0,20.0,0.99392,3.45,0.6,11.5,6.0
21,6.6,0.745,0.0,2.0,0.0819999999999999,15.0,33.0,0.9988,3.51,0.49,11.4,6.0
22,7.1,0.36,0.25,2.2,0.08,3.0,13.0,0.99576,3.54,0.57,9.3,5.0
23,7.3,0.59,0.21,1.9,0.0819999999999999,10.0,47.0,0.99655,3.38,0.52,9.8,6.0
24,6.7,0.38,0.03,2.2,0.074,6.0,12.0,0.99557,3.34,0.68,11.5,3.0
25,6.6,0.715,0.0,1.7,0.073,5.0,14.0,0.9963,3.36,0.73,10.0,4.0
26,7.1,0.62,0.03,2.1,0.078,6.0,25.0,0.9966,3.48,0.54,9.5,5.0
27,7.4,0.36,0.21,1.65,0.076,17.0,69.0,0.9966,3.36,0.82,9.5,6.0
28,10.1,0.42,0.31,2.0,0.07,17.0,42.0,0.9964,3.17,0.66,9.8,6.0
29,7.0,0.6,0.0,2.5,0.087,15.0,28.0,0.99746,3.51,0.65,9.8,5.0
30,7.2,0.695,0.0,2.4,0.078,5.0,20.0,0.99586,3.46,0.55,11.0,6.0
31,8.3,0.37,0.39,2.1,0.078,15.0,60.0,0.99652,3.16,0.6,10.0,7.0
32,9.6,0.58,0.08,1.9,0.072,9.0,31.0,0.9969,3.23,0.58,10.2,5.0
33,8.9,0.67,0.2,2.6,0.079,8.0,17.0,0.99444,3.49,0.64,9.5,5.0
34,8.6,0.37,0.45,2.1,0.08,7.0,16.0,0.9968,3.12,0.53,9.5,8.0
35,6.9,0.47,0.13,2.0,0.066,26.0,72.0,0.9979,3.35,0.68,9.4,6.0
36,11.9,0.39,0.47,2.4,0.08,15.0,42.0,0.9991,3.29,0.85,10.5,5.0
37,8.7,0.34,0.31,2.0,0.0819999999999999,16.0,65.0,0.99685,3.14,0.48,9.3,7.0
38,7.7,0.39,0.28,2.3,0.078,21.0,46.0,0.9976,3.34,0.62,10.4,5.0
39,6.8,0.53,0.24,2.7,0.075,8.0,22.0,0.9963,3.47,0.48,9.4,5.0
40,8.3,0.47,0.22,2.8,0.066,7.0,23.0,0.9948,3.32,0.81,9.5,6.0
41,9.4,0.52,0.34,1.6,0.076,10.0,31.0,0.99578,3.28,0.6,9.8,6.0
42,10.1,0.46,0.49,2.3,0.105,18.0,39.0,0.99652,3.15,0.44,11.3,6.0
43,8.7,0.37,0.56,2.6,0.102,7.0,32.0,0.9969,3.24,0.62,11.8,6.0
44,7.2,0.58,0.02,2.1,0.084,17.0,38.0,0.9972,3.42,0.52,9.5,5.0
45,9.5,0.4,0.4,1.8,0.08,7.0,18.0,0.9964,3.29,0.57,9.5,5.0
46,7.7,0.28,0.31,2.6,0.066,5.0,12.0,0.99632,3.39,0.55,11.5,6.0
47,7.6,0.59,0.03,2.0,0.0819999999999999,27.0,53.0,0.99623,3.52,0.58,9.7,5.0
48,7.9,0.31,0.32,2.4,0.074,5.0,21.0,0.9962,3.32,0.73,9.4,5.0
49,7.6,0.52,0.07,2.3,0.071,6.0,12.0,0.99708,3.38,0.49,10.2,6.0
50,8.1,0.47,0.23,1.9,0.074,5.0,13.0,0.9982,3.4,0.6,9.4,6.0
51,10.8,0.59,0.4,2.4,0.084,19.0,53.0,0.9973,3.15,0.63,9.2,4.0
52,7.0,0.42,0.55,2.7,0.086,11.0,44.0,0.99693,3.4,0.82,11.8,7.0
53,9.1,0.28,0.49,1.9,0.073,19.0,47.0,0.99774,3.14,0.64,9.8,5.0
54,6.9,0.45,0.0,2.4,0.077,28.0,44.0,0.99628,3.29,0.56,12.5,6.0
55,7.0,0.58,0.02,1.4,0.079,13.0,59.0,0.998,3.51,0.54,9.5,6.0
56,8.9,0.4,0.49,2.4,0.081,9.0,22.0,0.9987,3.28,0.73,9.4,5.0
57,8.5,0.59,0.22,2.5,0.074,10.0,21.0,0.9972,3.25,0.5,9.8,5.0
58,7.3,0.59,0.02,1.8,0.078,27.0,58.0,0.997,3.28,0.56,9.5,6.0
59,7.5,0.66,0.0,2.5,0.09,10.0,22.0,0.99655,3.27,0.49,9.9,6.0
60,9.2,0.43,0.32,2.1,0.0819999999999999,6.0,24.0,0.9976,3.32,0.54,9.9,5.0
61,8.6,0.64,0.3,1.9,0.077,9.0,17.0,0.9981,3.21,0.68,11.2,6.0
62,8.8,0.5,0.31,1.8,0.065,46.0,52.0,0.9956,3.29,0.62,9.9,5.0
63,7.9,0.36,0.49,2.5,0.073,41.0,53.0,0.9959,3.52,0.67,9.6,6.0
64,7.4,0.5,0.02,2.0,0.085,6.0,20.0,0.9965,3.42,0.56,9.0,6.0
65,7.8,0.34,0.39,2.3,0.068,6.0,23.0,0.9982,3.24,0.6,9.2,6.0
66,9.3,0.58,0.11,2.1,0.054,3.0,10.0,0.9991,3.42,0.56,11.3,7.0
67,8.8,0.62,0.12,2.5,0.0819999999999999,21.0,71.0,0.9968,3.25,0.77,9.5,5.0
